Tên nhóm hàng,Tên NPP,KM GPS có hàng,Thời gian vận chuyển (giờ)
RE Sugar,CÔNG TY TNHH NESTLE VIỆT NAM,479.0993353,759.2333333333333
RE Sugar,CÔNG TY TNHH RICH PRODUCTS VIỆT NAM,460.5268475,752.6333333333333
RE Sugar,CÔNG TY TNHH NESTLE VIỆT NAM,1360.329024,2168.3333333333335
RS Sugar,CÔNG TY CỔ PHẦN VINACAFÉ BIÊN HÒA,496.8328889,2172.8166666666666
Invert Syrup,CHI NHÁNH CÔNG TY CỔ PHẦN DỊCH VỤ CÀ PHÊ CAO NGUYÊN,21.11313855,758.6666666666666
RE Sugar,CÔNG TY CỔ PHẦN ACECOOK VIỆT NAM,3916.489617,7280.15
RE Sugar,CÔNG TY TNHH MTV MASAN HG,582.1109957,685.1
RE Sugar,CÔNG TY TNHH THỰC PHẨM ORION VINA,183.1653747,1423.85
RE Sugar,CÔNG TY TNHH YAKULT VIỆT NAM,5870.449975,3231.3166666666666
RE Sugar,CÔNG TY TNHH MTV MASAN HG,754.2792057,688.0833333333334
RE Sugar,CÔNG TY AJINOMOTO VIỆT NAM,126.6671142,686.2
RE Sugar,CÔNG TY TNHH PERFETTI VAN MELLE( VIỆT NAM),106.5504034,16.083333333333332
RE Sugar,CÔNG TY TNHH NESTLE VIỆT NAM,433.9955846,685.15
RE Sugar,CÔNG TY TNHH PERFETTI VAN MELLE( VIỆT NAM),124.9279585,678.45
"Brown Sugar, RE Sugar, Juice, RS Sugar, Functional Sugar, Caramelized, Organic Sugar, Natural Rock, Coconut Cooking Cream, Sugarcane Drinking Water, Invert Syrup, Monorock, Bar Sugar","LIÊN HIỆP HỢP TÁC XÃ THƯƠNG MẠI TP.HCM, CÔNG TY TNHH MINH TUYẾT NHA TRANG, CÔNG TY CỔ PHẦN TRUNG TÂM THƯƠNG MẠI LOTTE VIỆT NAM - CHI NHÁNH NHA TRANG, CÔNG TY TNHH THƯƠNG MẠI MINH DƯỢC, CÔNG TY TNHH THƯƠNG MẠI - DỊCH VỤ ĐÔNG VÂN",381.6516362,680.3666666666667
RE Sugar,CÔNG TY TNHH RED BULL (VIỆT NAM),70.08782576,672.6666666666666
RS Sugar,CÔNG TY CỔ PHẦN MONDELEZ KINH ĐÔ VIỆT NAM,390.8496832,1425.8666666666666
RE Sugar,CÔNG TY AJINOMOTO VIỆT NAM,228.0700551,686.4333333333333
"Monorock, Brown Sugar, RE Sugar, RS Sugar, Functional Sugar, Sugarcane Drinking Water, Bar Sugar, Coconut Cooking Cream, Caramelized, Juice","DOANH NGHIỆP TƯ NHÂN HOÀNG PHÁT LONG XUYÊN, CÔNG TY TNHH MTV SẢN XUẤT THƯƠNG MẠI VÀ DỊCH VỤ HỢP DUYÊN",263.9448938,688.5333333333333
RE Sugar,CÔNG TY CỔ PHẦN MONDELEZ KINH ĐÔ VIỆT NAM,466.0840997,685.75
RS Sugar,CÔNG TY TNHH CHẾ BIẾN THỰC PHẨM & BÁNH KẸO PHẠM NGUYÊN,104.0758646,682.7666666666667
RS Sugar,CHI NHÁNH CÔNG TY TNHH DỊCH VỤ VÀ THƯƠNG MẠI MESA,124.5579746,1424.8666666666666
RE Sugar,CHI NHÁNH HÀ NỘI - CÔNG TY CỔ PHẦN PHÊ LA,9.072056152,11.683333333333334
RE Sugar,,6481.277817,3370.8333333333335
RE Sugar,,8831.126073,3370.8166666666666
RE Sugar,,9659.35578,3464.7833333333333
"Coconut Cooking Cream, Juice, Brown Sugar, Functional Sugar, Monorock, Sugarcane Drinking Water, Invert Syrup, Caramelized, RS Sugar",CÔNG TY TNHH TRƯỜNG AN PHÚ LONG,1764.849935,3360.2166666666667
RE Sugar,CÔNG TY CỔ PHẦN THỰC PHẨM CHOLIMEX,101.1018895,8.033333333333333
"RE Sugar, RS Sugar, Baking Sugar","CÔNG TY TNHH GIVAUDAN VIỆT NAM, CHI NHÁNH BÌNH DƯƠNG - CÔNG TY CỔ PHẦN DỊCH VỤ THƯƠNG MẠI TỔNG HỢP WINCOMMERCE, CÔNG TY TNHH MEGAFOOD VIỆT NAM",44.81812878,8.316666666666666
Functional Sugar,CÔNG TY TNHH THƯƠNG MẠI XUẤT NHẬP KHẨU TOMATO T&P,22.51060221,3.5
"RS Sugar, Juice, Monorock",CÔNG TY TNHH THƯƠNG MẠI NÔNG SẢN THỰC PHẨM ĐỒNG XANH,50.92249923,7.616666666666666
"Functional Sugar, Brown Sugar, RE Sugar, Monorock, Coconut Cooking Cream, Juice",CÔNG TY TNHH THƯƠNG MẠI HÙNG TÍN,78.53158776,8.05
