MÃ HÀNG,TÊN HÀNG,SL THỰC NHẬN,ĐƠN VỊ,STD GROSSWGT,NSX,HSD,GROUP OF CAGO
20100244,Đường Phèn Cô Ba Trắng 10kg,10.0,KG,1.0,29/04/2024,29/04/2026,Monorock
20100184,Ðường Biên Hòa Pure 1kg,20.0,KG,1.0,2024-06-10 00:00:00,2028-06-10 00:00:00,RE Sugar
20100008,Đường Biên Hòa Pro Baking 1kg,27.0,KG,1.0,2024-09-10 00:00:00,2026-09-10 00:00:00,Functional Sugar
20100043,Đường mía thượng hạng Biên Hòa 1Kg,129.0,KG,1.0,22/08/2024,2028-01-08 00:00:00,RE Sugar
20100039,Đường mía cao cấp Biên Hòa 1kg,202.0,KG,1.0,14/09/2024,2026-04-09 00:00:00,RS Sugar
20100121,Đường tinh luyện đặc biệt Biên Hòa Pure,50.0,KG,1.0,2024-12-10 00:00:00,2026-12-10 00:00:00,RE Sugar
20100417,Đường sạch Cô Ba 12kg (xanh lá),120.0,KG,1.0,2024-01-10 00:00:00,2026-01-10 00:00:00,RS Sugar
20100184,Ðường Biên Hòa Pure 1kg,149.0,KG,1.0,2024-12-10 00:00:00,2028-12-10 00:00:00,RE Sugar
20100188,Đường vàng Cô Ba 1kg,1.0,KG,1.0,24/09/2024,24/09/2026,Brown Sugar
20100041,Đường mía khoáng chất 1kg,74.0,KG,1.0,20/09/2024,20/09/2026,Functional Sugar
20100246,Nước màu Bếp Xưa,12.0,CHA,0.21,2024-10-10 00:00:00,2026-10-10 00:00:00,Caramelized
20100182,Đường Biên Hòa Pure 500g (không thẻ cào),28.0,KG,1.0,2024-01-08 00:00:00,2028-11-07 00:00:00,RE Sugar
20100044,Đường mía thượng hạng Biên Hòa 500g,1.0,KG,1.0,2024-05-08 00:00:00,15/07/2028,RE Sugar
20100096,Đường sạch Cô Ba 1kg (Xanh lá),82.0,KG,1.0,2024-07-07 00:00:00,2026-07-07 00:00:00,RS Sugar
20100164,Đường trắng thượng hạng Biên Hòa Daily,50.0,KG,1.0,30/10/2024,30/10/2026,RS Sugar
20100042,Đường mía thiên nhiên Biên Hòa 1kg,186.0,KG,1.0,14/11/2024,14/11/2026,Brown Sugar
20100041,Đường mía khoáng chất 1kg,2.0,KG,1.0,14/09/2024,14/09/2026,Functional Sugar
20100495,Đường mía lỏng Biên Hoà 700ml,1.0,CHA,0.934028,30/09/2024,30/09/2025,Invert Syrup
20100090,Đường Phèn Vàng Thiên Nhiên 500g,23.5,KG,1.0,2024-12-10 00:00:00,2026-12-10 00:00:00,Natural Rock
20100040,Đường mía cao cấp Biên Hòa 500g,7.0,KG,1.0,2024-07-09 00:00:00,28/08/2026,RS Sugar
20100136,Đường tinh luyện hạt nhuyễn Biên Hòa Pure,50.0,KG,1.0,20/09/2024,20/09/2026,RE Sugar
20100044,Đường mía thượng hạng Biên Hòa 500g,6.0,KG,1.0,2024-12-10 00:00:00,2026-12-10 00:00:00,RE Sugar
20100090,Đường Phèn Vàng Thiên Nhiên 500g,0.5,KG,1.0,2024-12-10 00:00:00,2026-12-10 00:00:00,Natural Rock
20100243,Đường Phèn Cô Ba Vàng 1kg,40.0,KG,1.0,13/09/2024,13/09/2026,Monorock
20100075,Đường Phèn Biên Hòa Pro 500g,0.5,KG,1.0,19/08/2024,19/08/2026,Monorock
20100020,Đường đen nữ hoàng 1kg,17.0,KG,1.0,26/10/2024,26/01/2026,Functional Sugar
20100020,Đường đen nữ hoàng 1kg,5.0,KG,1.0,2024-12-10 00:00:00,2026-12-10 00:00:00,Functional Sugar
20100415,Đường Biên Hòa 1/2 (half sugar) 500g,12.0,KG,1.0,2024-12-10 00:00:00,2026-12-10 00:00:00,Functional Sugar
20100092,Đường Sạch Biên Hòa Saving 1kg,80.0,KG,1.0,26/03/2024,26/03/2026,RS Sugar
20100015,Đường Biên Hòa Pure Cành Mai 1kg,20.0,KG,1.0,25/09/2024,23/09/2028,RE Sugar
20100184,Ðường Biên Hòa Pure 1kg,21.0,KG,1.0,2024-03-08 00:00:00,13/07/2028,RE Sugar
20100081,Đường Phèn Tsu Hũ 450g,7.65,KG,1.0,14/10/2024,14/10/2026,Monorock
20100041,Đường mía khoáng chất 1kg,126.0,KG,1.0,20/09/2024,20/09/2026,Functional Sugar
20100182,Đường Biên Hòa Pure 500g (không thẻ cào),2.5,KG,1.0,29/04/2024,2028-08-04 00:00:00,RE Sugar
20100042,Đường mía thiên nhiên Biên Hòa 1kg,3.0,KG,1.0,2024-01-07 00:00:00,2026-01-07 00:00:00,Brown Sugar
20100182,Đường Biên Hòa Pure 500g (không thẻ cào),0.5,KG,1.0,29/04/2024,2028-08-04 00:00:00,RE Sugar
20100020,Đường đen nữ hoàng 1kg,2.0,KG,1.0,26/10/2024,26/01/2026,Functional Sugar
20100008,Đường Biên Hòa Pro Baking 1kg,1.0,KG,1.0,2024-09-10 00:00:00,2026-09-10 00:00:00,Functional Sugar
20100092,Đường Sạch Biên Hòa Saving 1kg,4.0,KG,1.0,2024-11-05 00:00:00,2026-11-05 00:00:00,RS Sugar
20100020,Đường đen nữ hoàng 1kg,23.0,KG,1.0,19/09/2024,13/12/2025,Functional Sugar
20100417,Đường sạch Cô Ba 12kg (xanh lá),12.0,KG,1.0,18/10/2024,18/10/2026,RS Sugar
20100092,Đường Sạch Biên Hòa Saving 1kg,2.0,KG,1.0,2024-11-05 00:00:00,2026-11-05 00:00:00,RS Sugar
20100044,Đường mía thượng hạng Biên Hòa 500g,3.0,KG,1.0,2024-05-08 00:00:00,15/07/2028,RE Sugar
20100092,Đường Sạch Biên Hòa Saving 1kg,3.0,KG,1.0,2024-11-05 00:00:00,2026-11-05 00:00:00,RS Sugar
20100054,Đường Organic Biên Hòa 400g,13.6,KG,1.0,26/12/2023,26/12/2026,Organic Sugar
20100182,Đường Biên Hòa Pure 500g (không thẻ cào),1.0,KG,1.0,29/04/2024,2028-08-04 00:00:00,RE Sugar
20100043,Đường mía thượng hạng Biên Hòa 1Kg,3.0,KG,1.0,16/04/2024,26/03/2028,RE Sugar
20100092,Đường Sạch Biên Hòa Saving 1kg,2.0,KG,1.0,2024-12-10 00:00:00,2026-12-10 00:00:00,RS Sugar
20100415,Đường Biên Hòa 1/2 (half sugar) 500g,105.5,KG,1.0,2024-01-11 00:00:00,2026-01-11 00:00:00,Functional Sugar
20100039,Đường mía cao cấp Biên Hòa 1kg,55.0,KG,1.0,15/09/2024,2026-05-09 00:00:00,RS Sugar
20100020,Đường đen nữ hoàng 1kg,18.0,KG,1.0,26/10/2024,26/01/2026,Functional Sugar
20100041,Đường mía khoáng chất 1kg,4.0,KG,1.0,2024-10-08 00:00:00,2026-10-08 00:00:00,Functional Sugar
20100092,Đường Sạch Biên Hòa Saving 1kg,12.0,KG,1.0,2024-05-05 00:00:00,2026-05-05 00:00:00,RS Sugar
20100039,Đường mía cao cấp Biên Hòa 1kg,7.0,KG,1.0,14/09/2024,2026-04-09 00:00:00,RS Sugar
20100092,Đường Sạch Biên Hòa Saving 1kg,2.0,KG,1.0,2024-11-05 00:00:00,2026-11-05 00:00:00,RS Sugar
20100043,Đường mía thượng hạng Biên Hòa 1Kg,2.0,KG,1.0,21/09/2024,21/09/2028,RE Sugar
20100002,Ðường Tsu Family 1kg,20.0,KG,1.0,25/08/2024,25/08/2026,RS Sugar
20100127,Đường Tinh Luyện Đặc Biệt Hũ 800g,4.8,KG,1.0,2024-01-04 00:00:00,2028-11-03 00:00:00,RE Sugar
20100041,Đường mía khoáng chất 1kg,2.0,KG,1.0,2024-10-08 00:00:00,2026-10-08 00:00:00,Functional Sugar
20100043,Đường mía thượng hạng Biên Hòa 1Kg,3.0,KG,1.0,16/04/2024,26/03/2028,RE Sugar
20100042,Đường mía thiên nhiên Biên Hòa 1kg,5.0,KG,1.0,2024-01-07 00:00:00,2026-01-07 00:00:00,Brown Sugar
20100042,Đường mía thiên nhiên Biên Hòa 1kg,3.0,KG,1.0,2024-01-07 00:00:00,2026-01-07 00:00:00,Brown Sugar
20100184,Ðường Biên Hòa Pure 1kg,4.0,KG,1.0,2024-03-08 00:00:00,13/07/2028,RE Sugar
20100184,Ðường Biên Hòa Pure 1kg,7.0,KG,1.0,2024-03-08 00:00:00,13/07/2028,RE Sugar
20100042,Đường mía thiên nhiên Biên Hòa 1kg,39.0,KG,1.0,2024-12-10 00:00:00,2026-12-10 00:00:00,Brown Sugar
20100039,Đường mía cao cấp Biên Hòa 1kg,13.0,KG,1.0,14/09/2024,2026-04-09 00:00:00,RS Sugar
20100015,Đường Biên Hòa Pure Cành Mai 1kg,22.0,KG,1.0,24/11/2024,23/11/2028,RE Sugar
20100039,Đường mía cao cấp Biên Hòa 1kg,60.0,KG,1.0,2024-04-10 00:00:00,2026-04-10 00:00:00,RS Sugar
20100042,Đường mía thiên nhiên Biên Hòa 1kg,2.0,KG,1.0,2024-01-07 00:00:00,2026-01-07 00:00:00,Brown Sugar
20100020,Đường đen nữ hoàng 1kg,82.0,KG,1.0,19/09/2024,13/12/2025,Functional Sugar
20100039,Đường mía cao cấp Biên Hòa 1kg,1.0,KG,1.0,14/09/2024,2026-04-09 00:00:00,RS Sugar
20100006,Đường Biên Hòa Joy Stick 6g (túi 300g),3.9,KG,1.0,13/08/2024,13/08/2028,Functional Sugar
20100415,Đường Biên Hòa 1/2 (half sugar) 500g,18.5,KG,1.0,2024-01-11 00:00:00,2026-01-11 00:00:00,Functional Sugar
